Meter_ID,Dwelling_Type,Num_Occupants,House_Area_sqft,Connected_Load_kW,Meter_Age_Years,Date,Temperature_C,Humidity_pct,Grid_Outage_Hours,Appliance_Score,Anomaly_Type,Meter_Bypass_Signal,Has_Solar_Panel,Voltage_V,Power_Factor,Expected_Energy_kWh,Actual_Energy_kWh,Peak_Hour_Usage_kWh,Off_Peak_Usage_kWh
IN-KL-ELC-07966920,Villa,6,3732,12.55,19,26-05-2023,37.26,78.88,0.0,13.0,4,0,0,238.25,0.76,35.05 kWh,139.50 kWh,74.49 kWh,39.64 kWh
IN-KL-ELC-40473321,Villa,4,4580,12.67,15,11-01-2022,25.77,65.02,0.0,19.0,0,0,0,245.04,0.89,6.20 kWh,9.28 kWh,5.04 kWh,3.30 kWh
IN-KL-ELC-40260456,Commercial,4,3567,11.72,3,13-05-2022,36.66,78.43,0.0,9.0,0,0,0,239.57,0.99,29.92 kWh,75.10 kWh,46.15 kWh,24.08 kWh
IN-KL-ELC-84212996,Independent House,7,2292,7.42,10,22-01-2022,22.89,69.29,5.91,8.0,0,0,0,214.0,0.85,,57.00 kWh,34.45 kWh,18.93 kWh
IN-KL-ELC-56223234,Apartment,2,533,1.5,1,15-08-2023,29.15,89.45,7.15,16.0,3,0,1,230.42,0.8,-8.90 kWh,5.17 kWh,3.22 kWh,1.58 kWh
IN-KL-ELC-58842658,Apartment,7,3369,9.13,9,11-06-2022,30.04,83.77,4.45,22.0,0,0,0,230.05,0.83,30.46 kWh,62.92 kWh,35.93 kWh,15.35 kWh
IN-KL-ELC-67844426,Apartment,5,665,2.0,11,12-07-2023,30.96,88.18,0.0,9.0,2,0,0,223.27,0.77,53.43 kWh,93.76 kWh,48.51 kWh,30.59 kWh
IN-KL-ELC-33978002,Independent House,5,2696,8.47,12,15-12-2022,27.0,55.48,0.0,14.0,0,0,1,227.38,0.8,-55.78 kWh,1.47 kWh,0.93 kWh,0.42 kWh
IN-KL-ELC-08906572,Apartment,1,3642,12.05,6,13-04-2022,30.6,75.29,0.0,19.0,1,1,0,228.7,0.85,31.44 kWh,166.68 kWh,94.45 kWh,58.55 kWh
IN-KL-ELC-37557799,Commercial,5,1263,2.37,14,30-07-2022,23.96,90.85,0.0,17.0,3,0,1,233.09,0.79,-16.13 kWh,51.79 kWh,28.22 kWh,15.37 kWh
IN-KL-ELC-10793481,Independent House,4,1580,12.89,19,03-08-2022,28.93,75.23,0.0,24.0,4,0,0,231.07,0.69,56.07 kWh,200.00 kWh,109.00 kWh,74.37 kWh
IN-KL-ELC-67787162,Independent House,8,700,12.29,6,12-06-2023,30.52,92.29,3.99,16.0,4,0,0,227.66,0.76,55.33 kWh,200.00 kWh,103.94 kWh,69.73 kWh
IN-KL-ELC-24976590,Independent House,5,2426,10.97,3,04-04-2022,37.66,71.62,0.0,19.0,1,1,0,226.38,0.69,11.49 kWh,139.42 kWh,81.42 kWh,38.04 kWh
IN-KL-ELC-12366669,Commercial,2,1292,9.68,1,25-08-2023,28.69,86.99,6.95,8.0,4,0,0,238.1,0.73,54.95 kWh,200.00 kWh,122.41 kWh,55.34 kWh
IN-KL-ELC-45160207,Apartment,7,1228,5.86,8,06-01-2022,28.66,58.64,0.0,17.0,3,0,1,238.29,0.81,,32.70 kWh,19.01 kWh,9.48 kWh
IN-KL-ELC-76716230,Independent House,8,4754,14.53,19,13-12-2022,24.69,47.85,0.0,21.0,0,0,1,232.96,0.79,-40.88 kWh,1.48 kWh,0.83 kWh,0.52 kWh
IN-KL-ELC-17642355,Independent House,5,1154,2.56,17,01-09-2022,31.77,75.05,3.5,24.0,0,0,1,226.29,0.81,50.42 kWh,101.30 kWh,57.58 kWh,27.90 kWh
IN-KL-ELC-55629457,Independent House,5,3967,12.43,12,16-03-2023,33.44,67.49,0.0,1.0,1,0,0,228.75,0.69,44.81 kWh,156.49 kWh,98.76 kWh,39.15 kWh
IN-KL-ELC-77870084,Commercial,5,784,3.41,13,31-10-2022,28.42,64.13,0.0,5.0,1,1,1,229.72,0.85,24.79 kWh,56.76 kWh,33.47 kWh,17.56 kWh
IN-KL-ELC-68707096,Villa,4,4977,14.46,14,01-03-2023,33.2,66.75,1.66,14.0,1,1,0,218.77,0.79,37.26 kWh,193.62 kWh,116.24 kWh,47.59 kWh
IN-KL-ELC-66924776,Villa,7,2380,8.05,2,07-03-2023,32.51,78.63,0.0,1.0,4,0,0,218.86,0.73,53.56 kWh,200.00 kWh,128.12 kWh,53.10 kWh
IN-KL-ELC-76108155,Apartment,7,3061,7.85,14,05-09-2023,26.06,87.94,2.84,23.0,2,0,1,239.96,0.76,43.00 kWh,100.00 kWh,57.44 kWh,37.00 kWh
IN-KL-ELC-98541457,Apartment,6,3482,11.96,11,26-10-2022,28.61,60.32,0.0,14.0,2,0,0,228.75,0.66,21.83 kWh,43.12 kWh,23.04 kWh,13.03 kWh
IN-KL-ELC-71335020,Apartment,2,3933,10.9,5,01-01-2022,28.4,58.58,0.0,1.0,0,0,1,237.66,0.82,45.43 kWh,99.70 kWh,47.18 kWh,33.16 kWh
IN-KL-ELC-55423544,Commercial,5,1276,4.14,8,12-03-2023,29.17,59.11,0.0,15.0,3,0,1,234.86,0.94,-14.24 kWh,64.77 kWh,39.14 kWh,15.46 kWh
IN-KL-ELC-62955257,Commercial,4,1728,5.78,18,14-06-2022,31.5,76.89,3.56,5.0,1,1,0,217.74,0.76,23.34 kWh,89.57 kWh,49.23 kWh,23.81 kWh
IN-KL-ELC-15560243,Apartment,2,1821,5.03,18,13-12-2022,24.14,60.04,0.0,9.0,0,0,0,234.08,0.8,35.61 kWh,57.85 kWh,32.28 kWh,17.38 kWh
IN-KL-ELC-62468859,Apartment,4,1826,5.94,4,07-01-2022,27.58,59.78,0.0,6.0,0,0,0,230.8,0.84,51.16 kWh,106.82 kWh,56.92 kWh,30.65 kWh
IN-KL-ELC-22905375,Independent House,3,2533,6.67,11,22-05-2023,33.72,65.2,0.0,17.0,3,0,1,235.58,0.85,-10.18 kWh,7.68 kWh,4.44 kWh,2.64 kWh
IN-KL-ELC-30415502,Independent House,6,1204,4.67,14,20-05-2023,34.54,62.17,0.0,13.0,2,0,1,232.21,0.77,11.54 kWh,32.81 kWh,18.99 kWh,10.54 kWh
IN-KL-ELC-22725756,Villa,5,2661,6.89,16,25-05-2023,28.11,58.9,0.0,13.0,0,0,0,232.41,0.78,21.04 kWh,59.72 kWh,32.83 kWh,22.73 kWh
IN-KL-ELC-14995614,Independent House,3,4740,15.0,1,05-10-2022,24.4,53.74,0.0,6.0,1,1,0,218.01,0.71,44.21 kWh,204.64 kWh,109.82 kWh,57.37 kWh
IN-KL-ELC-15597486,Apartment,3,3894,13.97,11,20-02-2022,26.65,64.56,0.0,1.0,2,0,0,226.26,0.66,39.60 kWh,94.86 kWh,48.71 kWh,29.43 kWh
IN-KL-ELC-06048471,Commercial,3,560,1.7,13,18-03-2023,28.56,63.0,0.0,1.0,2,0,1,209.75,0.71,49.33 kWh,100.00 kWh,52.03 kWh,30.54 kWh
IN-KL-ELC-74652023,Apartment,5,3105,9.83,3,03-06-2023,26.08,90.77,0.0,23.0,0,0,1,229.83,0.99,38.77 kWh,79.44 kWh,41.88 kWh,28.16 kWh
IN-KL-ELC-89870094,Apartment,2,500,3.34,4,10-01-2022,28.27,62.2,0.0,19.0,1,1,0,230.42,0.74,31.95 kWh,44.81 kWh,24.95 kWh,12.32 kWh
IN-KL-ELC-19053322,Commercial,1,3419,11.29,9,13-01-2022,27.68,52.69,3.17,3.0,0,0,1,225.35,0.97,51.55 kWh,80.40 kWh,48.06 kWh,20.29 kWh
IN-KL-ELC-49442487,Commercial,2,1229,3.53,14,26-05-2022,35.23,60.53,0.0,24.0,2,0,0,227.82,0.77,36.65 kWh,91.59 kWh,44.64 kWh,31.90 kWh
IN-KL-ELC-70893646,Apartment,7,3979,13.71,14,24-12-2022,23.45,45.69,0.0,18.0,1,1,0,227.34,0.74,13.56 kWh,164.62 kWh,93.10 kWh,59.95 kWh
IN-KL-ELC-12373841,Apartment,5,1789,4.04,5,05-01-2022,28.46,59.79,0.0,19.0,1,1,1,224.99,0.71,5.64 kWh,65.76 kWh,41.11 kWh,20.37 kWh
IN-KL-ELC-30624860,Apartment,8,3246,9.5,8,03-09-2022,28.27,88.58,1.61,22.0,2,0,1,230.8,0.73,13.07 kWh,26.72 kWh,14.35 kWh,8.24 kWh
IN-KL-ELC-07761645,Villa,5,3287,11.67,15,14-09-2023,29.84,93.81,3.88,9.0,1,1,0,223.98,0.77,36.00 kWh,181.96 kWh,108.35 kWh,58.31 kWh
IN-KL-ELC-42605310,Apartment,6,4365,13.76,14,03-08-2023,31.85,80.26,0.0,24.0,1,1,0,220.84,0.76,38.81 kWh,107.56 kWh,54.70 kWh,37.93 kWh
IN-KL-ELC-20000738,Villa,2,2052,4.5,16,02-02-2023,22.61,62.87,0.0,12.0,0,0,1,235.33,0.77,-12.26 kWh,1.36 kWh,0.88 kWh,0.36 kWh
IN-KL-ELC-24635533,Villa,8,1802,5.98,11,21-12-2022,24.46,45.38,0.0,13.0,2,0,0,237.78,0.79,29.74 kWh,70.24 kWh,43.54 kWh,22.39 kWh
IN-KL-ELC-71531065,Apartment,1,3021,11.38,11,02-08-2023,31.87,88.38,5.33,10.0,0,0,1,227.21,0.93,56.98 kWh,111.72 kWh,64.89 kWh,27.53 kWh
IN-KL-ELC-19097931,Independent House,5,1604,3.25,11,24-09-2022,28.41,87.19,0.0,12.0,0,0,0,227.56,0.98,40.56 kWh,88.08 kWh,55.59 kWh,23.52 kWh
IN-KL-ELC-89687964,Apartment,1,2016,4.35,15,27-08-2023,24.5,85.2,1.31,24.0,3,0,1,236.52,0.94,-13.35 kWh,20.05 kWh,12.31 kWh,6.69 kWh
IN-KL-ELC-31102119,Independent House,8,4799,11.4,2,20-02-2023,29.05,58.68,2.87,24.0,4,0,0,231.45,0.72,25.44 kWh,,68.40 kWh,34.03 kWh
IN-KL-ELC-60472382,Independent House,1,2058,5.44,14,05-11-2022,29.5,61.36,0.0,14.0,0,0,1,240.1,0.88,54.06 kWh,65.46 kWh,33.36 kWh,21.78 kWh
IN-KL-ELC-63699771,Independent House,1,3255,10.29,19,23-12-2022,25.27,66.3,0.0,24.0,3,0,1,237.65,0.94,-7.04 kWh,17.81 kWh,9.13 kWh,5.26 kWh
IN-KL-ELC-78931275,Villa,2,4712,13.64,13,01-07-2022,25.19,81.82,6.87,10.0,0,0,0,232.66,0.82,26.16 kWh,61.53 kWh,37.99 kWh,20.06 kWh
IN-KL-ELC-11984398,Apartment,1,916,2.56,5,16-12-2023,22.71,61.87,5.96,15.0,0,0,0,229.52,0.92,14.87 kWh,20.13 kWh,11.97 kWh,5.11 kWh
IN-KL-ELC-45648270,Independent House,8,4192,11.01,12,27-09-2023,31.08,81.16,7.03,18.0,3,0,1,216.9,0.94,-22.30 kWh,42.32 kWh,25.25 kWh,14.16 kWh
IN-KL-ELC-18786176,Villa,2,815,4.12,8,10-05-2022,32.36,66.91,0.0,17.0,0,0,0,231.59,0.81,49.23 kWh,91.72 kWh,58.95 kWh,24.34 kWh
IN-KL-ELC-04667752,Villa,6,424,1.5,11,18-05-2022,34.04,56.71,0.0,9.0,1,1,0,232.26,0.8,26.02 kWh,16.95 kWh,8.79 kWh,5.13 kWh
IN-KL-ELC-25254492,Apartment,4,4038,13.19,6,07-02-2023,29.22,59.49,6.22,19.0,0,0,0,235.92,0.85,46.77 kWh,70.56 kWh,40.62 kWh,18.10 kWh
IN-KL-ELC-93389281,Villa,2,3685,11.88,15,10-01-2023,25.29,66.12,0.0,14.0,0,0,0,232.09,0.83,25.01 kWh,37.82 kWh,24.46 kWh,9.97 kWh
IN-KL-ELC-99157604,Apartment,1,1014,3.84,18,14-05-2023,34.76,73.78,2.4,3.0,0,0,1,239.59,0.73,-36.95 kWh,2.66 kWh,1.54 kWh,0.89 kWh
IN-KL-ELC-67072198,Apartment,5,2780,9.38,11,16-11-2022,23.58,68.62,0.0,9.0,1,1,0,222.3,0.79,17.37 kWh,68.09 kWh,36.25 kWh,18.31 kWh
IN-KL-ELC-27354568,Villa,8,936,9.36,13,14-11-2022,26.01,63.47,0.0,23.0,4,0,0,228.25,0.69,52.04 kWh,200.00 kWh,108.01 kWh,71.83 kWh
IN-KL-ELC-70578194,Apartment,5,2534,9.89,13,16-06-2023,24.69,82.33,0.0,1.0,1,1,0,218.91,0.7,18.67 kWh,81.38 kWh,50.22 kWh,25.72 kWh
IN-KL-ELC-65327252,Independent House,8,577,3.64,16,19-03-2023,30.66,75.93,0.0,14.0,1,0,0,217.07,0.78,14.10 kWh,47.74 kWh,25.91 kWh,13.43 kWh
IN-KL-ELC-51207679,Commercial,8,4450,14.67,9,03-12-2023,27.15,46.18,0.0,8.0,0,0,0,232.95,0.97,33.74 kWh,51.45 kWh,31.62 kWh,12.83 kWh
IN-KL-ELC-09695331,Independent House,3,3906,12.78,13,10-08-2023,29.65,89.64,0.0,25.0,2,0,0,226.59,0.71,53.30 kWh,100.00 kWh,51.05 kWh,34.66 kWh
IN-KL-ELC-23435943,Villa,1,1835,5.58,9,06-06-2023,27.46,75.16,0.0,8.0,3,0,1,218.78,0.9,7.55 kWh,37.61 kWh,18.75 kWh,13.36 kWh
IN-KL-ELC-23637222,Villa,2,3100,9.56,13,17-03-2022,35.01,56.99,0.0,4.0,0,0,1,218.54,0.98,12.97 kWh,39.03 kWh,22.65 kWh,9.85 kWh
IN-KL-ELC-24910005,Commercial,1,4171,13.85,6,07-12-2023,23.99,59.24,0.0,15.0,1,1,0,213.35,0.75,39.45 kWh,203.59 kWh,117.10 kWh,63.67 kWh
IN-KL-ELC-93916768,Apartment,3,2471,7.94,19,18-09-2022,30.98,80.54,4.3,17.0,3,0,1,225.75,0.91,-26.65 kWh,59.82 kWh,35.91 kWh,16.37 kWh
IN-KL-ELC-32963684,Independent House,3,2596,7.16,4,18-07-2022,29.96,83.34,0.0,10.0,0,0,1,225.11,0.78,-18.30 kWh,1.28 kWh,0.73 kWh,0.36 kWh
IN-KL-ELC-24201489,Apartment,5,1998,7.98,16,04-03-2023,30.25,79.31,0.0,23.0,1,1,0,231.12,0.8,44.91 kWh,63.91 kWh,37.40 kWh,22.24 kWh
IN-KL-ELC-64924189,Apartment,1,1596,2.46,18,09-01-2022,28.71,57.93,0.0,3.0,1,1,0,225.97,0.71,14.19 kWh,25.95 kWh,16.30 kWh,6.51 kWh
IN-KL-ELC-52876351,Apartment,1,2241,7.88,18,21-08-2022,27.68,80.33,0.0,16.0,1,1,0,224.48,0.79,21.43 kWh,116.68 kWh,64.04 kWh,44.19 kWh
IN-KL-ELC-59589497,Independent House,5,3125,9.39,14,28-04-2023,33.25,77.22,0.0,10.0,3,0,1,228.79,0.81,-25.18 kWh,28.57 kWh,17.84 kWh,9.00 kWh
IN-KL-ELC-63468019,Commercial,1,1290,6.53,13,28-03-2023,35.74,68.4,0.0,1.0,2,0,1,231.71,0.74,24.09 kWh,,32.51 kWh,22.85 kWh
IN-KL-ELC-57524142,Commercial,1,3224,9.78,8,03-09-2022,31.89,79.92,2.48,10.0,3,0,1,235.48,0.83,-17.38 kWh,7.21 kWh,3.72 kWh,2.34 kWh
IN-KL-ELC-57728947,Independent House,2,531,14.37,6,09-05-2023,35.35,76.76,0.0,19.0,4,0,0,218.13,0.76,47.63 kWh,145.05 kWh,70.25 kWh,46.83 kWh
IN-KL-ELC-08585377,Apartment,2,2677,7.8,1,29-04-2023,36.76,63.73,0.0,10.0,0,0,0,231.52,0.93,41.57 kWh,77.26 kWh,40.92 kWh,23.74 kWh
IN-KL-ELC-89132960,Villa,3,3359,9.04,2,22-07-2023,30.33,80.39,1.58,5.0,0,0,0,220.98,0.84,30.91 kWh,54.06 kWh,31.64 kWh,16.04 kWh
IN-KL-ELC-18492846,Villa,6,2679,6.58,10,19-04-2022,31.52,77.75,0.0,15.0,0,0,0,226.59,0.94,22.96 kWh,44.72 kWh,24.70 kWh,16.80 kWh
IN-KL-ELC-50122260,Commercial,4,4701,15.0,19,09-10-2022,28.95,56.73,0.0,10.0,0,0,0,227.97,0.86,43.02 kWh,85.76 kWh,43.99 kWh,28.93 kWh
IN-KL-ELC-60767791,Commercial,6,1746,13.39,6,15-08-2022,30.47,90.29,0.0,20.0,4,0,0,227.16,0.65,23.12 kWh,113.46 kWh,65.06 kWh,28.99 kWh
IN-KL-ELC-30491245,Villa,6,3572,12.63,11,23-09-2023,27.39,93.24,4.17,22.0,1,0,1,227.33,0.81,33.27 kWh,151.49 kWh,97.95 kWh,41.17 kWh
IN-KL-ELC-50254010,Villa,5,3979,14.61,4,05-10-2022,28.56,62.85,0.0,6.0,4,0,0,216.08,0.72,39.93 kWh,161.52 kWh,79.71 kWh,53.14 kWh
IN-KL-ELC-09909551,Independent House,5,2282,8.01,3,14-12-2023,27.34,54.65,0.0,18.0,0,0,0,236.29,0.98,56.79 kWh,69.70 kWh,41.28 kWh,18.13 kWh
IN-KL-ELC-30616905,Commercial,6,2095,5.55,9,17-10-2023,23.68,51.54,0.0,18.0,3,0,1,227.48,0.85,-18.34 kWh,46.62 kWh,24.45 kWh,16.82 kWh
IN-KL-ELC-47313388,Independent House,8,985,2.49,4,24-09-2022,26.35,90.05,0.0,7.0,3,0,1,237.03,0.8,-8.72 kWh,36.37 kWh,24.09 kWh,9.61 kWh
IN-KL-ELC-08909636,Villa,1,2227,7.16,8,14-04-2022,33.67,69.67,0.0,17.0,1,1,0,218.9,0.85,6.21 kWh,120.11 kWh,64.06 kWh,45.39 kWh
IN-KL-ELC-56587816,Commercial,3,1257,3.25,13,30-08-2023,28.09,79.14,0.0,13.0,3,0,1,211.9,0.91,-19.20 kWh,40.06 kWh,23.29 kWh,12.66 kWh
IN-KL-ELC-68181511,Commercial,5,3120,10.11,16,21-09-2023,29.52,76.65,1.18,17.0,0,0,1,230.74,0.86,37.70 kWh,75.08 kWh,37.37 kWh,24.80 kWh
IN-KL-ELC-62814696,Independent House,5,1850,6.1,13,28-04-2023,33.38,55.0,2.34,25.0,3,0,1,233.97,0.88,-5.06 kWh,13.56 kWh,7.47 kWh,4.45 kWh
IN-KL-ELC-47936136,Apartment,8,2294,6.86,5,16-01-2022,25.23,58.37,0.0,17.0,0,0,0,232.15,0.93,44.45 kWh,59.40 kWh,33.24 kWh,18.30 kWh
IN-KL-ELC-92238773,Apartment,7,3659,13.06,3,08-12-2023,22.0,55.99,0.0,12.0,4,0,0,240.36,0.68,21.57 kWh,100.98 kWh,55.50 kWh,32.54 kWh
IN-KL-ELC-54441451,Independent House,5,1489,4.62,6,20-12-2022,22.0,51.73,0.0,13.0,0,0,1,226.02,0.93,12.47 kWh,15.37 kWh,7.75 kWh,5.05 kWh
IN-KL-ELC-61199721,Apartment,1,411,2.95,9,22-10-2023,28.29,68.0,0.0,11.0,2,0,0,214.44,0.81,39.67 kWh,93.22 kWh,59.50 kWh,26.24 kWh
IN-KL-ELC-52058324,Villa,3,489,1.5,4,15-05-2023,35.69,77.43,1.2,23.0,0,0,0,233.58,0.86,57.51 kWh,137.13 kWh,66.21 kWh,45.58 kWh
IN-KL-ELC-04965069,Apartment,3,2225,14.77,19,16-11-2023,23.99,65.22,0.0,25.0,4,0,0,226.42,0.74,39.30 kWh,192.47 kWh,101.08 kWh,59.29 kWh
IN-KL-ELC-54492538,Commercial,7,1881,6.3,13,01-11-2023,23.76,54.79,0.0,21.0,2,0,0,223.19,0.86,22.34 kWh,34.86 kWh,19.41 kWh,11.59 kWh
IN-KL-ELC-10326578,Apartment,5,414,2.81,4,31-03-2023,35.74,76.56,0.0,7.0,3,0,1,232.11,0.89,8.38 kWh,66.28 kWh,35.63 kWh,19.31 kWh
IN-KL-ELC-93698225,Apartment,1,1611,8.02,1,15-06-2023,30.14,88.19,0.0,10.0,4,0,0,228.94,0.76,51.29 kWh,200.00 kWh,114.35 kWh,61.96 kWh
IN-KL-ELC-47698354,Commercial,5,4252,14.81,14,20-05-2023,28.5,62.55,0.0,6.0,2,0,0,216.19,0.85,48.51 kWh,100.00 kWh,59.58 kWh,24.06 kWh
IN-KL-ELC-49282198,Villa,2,4797,14.22,14,04-05-2022,29.0,76.26,0.0,4.0,1,1,0,233.56,0.74,25.38 kWh,111.21 kWh,58.72 kWh,39.56 kWh
IN-KL-ELC-53884747,Independent House,5,472,2.07,18,24-08-2022,24.91,92.35,0.0,16.0,1,1,0,221.78,0.69,19.27 kWh,31.92 kWh,17.30 kWh,10.47 kWh
IN-KL-ELC-81975411,Commercial,4,3284,10.48,8,06-11-2022,28.85,58.86,0.0,7.0,3,0,1,221.44,0.78,-26.90 kWh,28.08 kWh,14.97 kWh,9.10 kWh
IN-KL-ELC-71964784,Apartment,6,4111,14.9,2,02-12-2023,29.79,59.42,0.0,15.0,0,0,1,229.83,0.91,21.19 kWh,23.39 kWh,13.98 kWh,8.23 kWh
IN-KL-ELC-58638329,Apartment,2,1684,6.7,12,15-08-2022,30.67,78.04,5.8,18.0,0,0,0,236.78,0.79,12.40 kWh,18.58 kWh,9.23 kWh,5.66 kWh
IN-KL-ELC-73911736,Villa,4,4611,13.78,12,30-06-2022,26.84,87.27,5.38,16.0,3,0,1,225.04,0.95,-13.47 kWh,24.69 kWh,14.63 kWh,6.12 kWh
IN-KL-ELC-23026196,Villa,5,2761,7.82,13,28-12-2023,24.21,58.3,0.0,3.0,2,0,1,235.89,0.86,,100.00 kWh,48.82 kWh,32.31 kWh
IN-KL-ELC-97480308,Independent House,8,2482,8.75,11,17-05-2022,36.11,80.16,0.0,4.0,0,0,0,235.44,0.9,51.05 kWh,113.14 kWh,71.97 kWh,29.12 kWh
IN-KL-ELC-93827828,Commercial,1,2477,14.34,2,12-02-2023,23.71,66.66,0.0,21.0,4,0,0,226.1,0.67,58.20 kWh,200.00 kWh,110.59 kWh,64.03 kWh
IN-KL-ELC-61761547,Apartment,4,2895,9.78,15,28-10-2023,28.43,62.54,6.49,13.0,3,0,1,238.98,0.86,-29.39 kWh,52.42 kWh,34.37 kWh,14.95 kWh
IN-KL-ELC-07744445,Independent House,3,753,1.5,16,01-12-2023,28.6,46.19,0.0,16.0,3,0,1,231.63,0.86,-29.96 kWh,67.36 kWh,41.99 kWh,20.79 kWh
IN-KL-ELC-78113713,Independent House,3,1436,3.85,11,29-05-2022,32.36,73.02,0.0,6.0,0,0,0,225.22,0.94,48.24 kWh,102.30 kWh,60.32 kWh,33.72 kWh
IN-KL-ELC-77832228,Independent House,7,3443,9.69,2,21-04-2022,36.41,63.2,0.0,11.0,1,1,0,221.3,0.78,41.95 kWh,124.11 kWh,64.87 kWh,38.50 kWh
IN-KL-ELC-12707048,Apartment,1,1158,4.45,13,25-10-2023,22.63,63.21,2.36,18.0,2,0,0,221.11,0.73,50.01 kWh,100.00 kWh,48.82 kWh,35.18 kWh
IN-KL-ELC-74931500,Apartment,7,2618,7.29,19,12-07-2022,29.7,77.29,0.0,21.0,0,0,0,225.52,0.79,37.17 kWh,53.25 kWh,28.28 kWh,19.57 kWh
IN-KL-ELC-53141024,Villa,5,3881,11.14,2,28-11-2022,22.0,58.35,4.09,23.0,1,1,1,225.72,0.83,14.38 kWh,179.81 kWh,101.67 kWh,58.52 kWh
IN-KL-ELC-67922032,Villa,6,758,3.82,16,15-06-2023,26.6,89.58,0.0,8.0,0,0,0,222.23,0.87,45.78 kWh,76.14 kWh,40.32 kWh,27.15 kWh
IN-KL-ELC-82241120,Apartment,7,2521,7.1,5,15-10-2022,23.21,63.06,4.0,4.0,1,1,1,222.04,0.77,6.32 kWh,103.67 kWh,60.00 kWh,23.81 kWh
IN-KL-ELC-21898677,Independent House,5,592,11.08,15,10-08-2023,31.52,79.16,0.88,24.0,4,0,0,228.19,0.69,36.81 kWh,200.00 kWh,120.52 kWh,64.83 kWh
IN-KL-ELC-82258066,Villa,1,2462,10.11,13,22-10-2023,26.61,64.69,0.0,12.0,4,0,0,238.88,0.77,44.03 kWh,155.32 kWh,92.07 kWh,41.96 kWh
IN-KL-ELC-23912113,Independent House,6,2857,8.89,2,20-09-2022,30.49,90.16,6.81,6.0,0,0,0,228.84,0.93,9.98 kWh,22.32 kWh,12.64 kWh,6.47 kWh
IN-KL-ELC-89714117,Commercial,8,2231,5.69,14,09-11-2023,22.0,61.98,0.0,7.0,2,0,1,232.48,0.76,19.42 kWh,52.58 kWh,27.44 kWh,19.55 kWh
IN-KL-ELC-29168464,Commercial,1,3920,11.87,13,14-04-2023,30.94,78.83,0.0,7.0,0,0,1,231.24,0.89,-54.54 kWh,1.97 kWh,1.19 kWh,0.59 kWh
IN-KL-ELC-64447435,Villa,7,698,1.5,1,29-06-2023,32.02,80.45,0.0,6.0,0,0,1,232.01,0.92,-33.38 kWh,2.37 kWh,1.52 kWh,0.66 kWh
IN-KL-ELC-17409683,Apartment,2,2466,14.92,3,30-04-2023,32.25,78.71,0.0,18.0,4,0,0,230.98,0.74,51.99 kWh,200.00 kWh,107.23 kWh,71.07 kWh
IN-KL-ELC-66575221,Independent House,2,740,2.1,19,04-06-2023,27.33,91.71,0.0,16.0,0,0,0,230.81,0.87,57.45 kWh,119.90 kWh,69.95 kWh,40.26 kWh
IN-KL-ELC-65564775,Villa,4,4360,14.36,17,03-11-2022,25.3,56.27,0.0,10.0,3,0,1,230.83,0.82,-13.67 kWh,13.98 kWh,8.24 kWh,4.71 kWh
IN-KL-ELC-12892677,Independent House,1,4238,12.99,8,15-02-2022,27.99,52.71,0.0,5.0,2,0,0,225.82,0.67,35.86 kWh,78.60 kWh,47.85 kWh,25.61 kWh
IN-KL-ELC-22432851,Commercial,2,4444,12.8,16,02-08-2022,24.46,88.63,1.1,5.0,0,0,1,232.47,0.83,16.42 kWh,26.34 kWh,14.93 kWh,8.84 kWh
IN-KL-ELC-72894486,Commercial,2,2193,6.11,14,24-02-2023,23.47,67.84,1.88,7.0,1,1,0,228.4,0.75,36.71 kWh,51.50 kWh,29.01 kWh,13.96 kWh
IN-KL-ELC-42019117,Independent House,4,2838,11.81,3,21-08-2023,28.9,80.42,3.27,16.0,0,0,1,231.78,0.99,53.61 kWh,105.73 kWh,55.59 kWh,34.95 kWh
IN-KL-ELC-06404003,Apartment,3,4995,15.0,14,31-05-2022,28.96,67.89,0.0,3.0,0,0,0,224.45,0.98,21.98 kWh,35.55 kWh,20.98 kWh,12.15 kWh
IN-KL-ELC-36253447,Independent House,2,504,3.23,7,17-06-2023,28.57,94.24,0.0,21.0,0,0,1,234.14,0.91,16.37 kWh,28.68 kWh,14.38 kWh,9.19 kWh
IN-KL-ELC-07692643,Apartment,6,4905,9.01,13,24-11-2022,27.4,58.13,0.0,1.0,4,0,0,222.78,0.77,28.47 kWh,109.57 kWh,67.63 kWh,31.64 kWh
IN-KL-ELC-24235627,Commercial,7,3569,10.88,14,05-05-2023,30.72,67.05,0.0,24.0,1,1,0,245.87,0.71,5.37 kWh,169.76 kWh,95.69 kWh,59.24 kWh
IN-KL-ELC-49439294,Commercial,8,2849,6.75,17,28-03-2023,38.0,69.38,5.53,2.0,0,0,0,230.71,0.91,32.64 kWh,68.67 kWh,41.79 kWh,22.51 kWh
IN-KL-ELC-80155332,Apartment,1,412,1.5,7,01-02-2023,29.45,57.31,0.0,8.0,0,0,1,231.16,0.85,22.85 kWh,29.36 kWh,17.66 kWh,9.85 kWh
IN-KL-ELC-74052985,Apartment,3,3481,11.33,10,13-02-2022,23.93,53.19,0.0,25.0,0,0,1,226.5,0.81,43.44 kWh,68.26 kWh,36.44 kWh,24.52 kWh
IN-KL-ELC-80497273,Commercial,2,1215,2.85,17,07-04-2022,29.41,61.59,0.0,10.0,0,0,0,225.37,0.83,58.08 kWh,100.20 kWh,53.73 kWh,37.22 kWh
